"location_long" "location_lat"
"114" -5.293773 50.209797
"115" -5.293395 50.209682
"116" -5.293727 50.209766
"117" -5.293653 50.209835
"118" -5.29359 50.209785
"119" -5.293359 50.209553
"120" -5.293681 50.20982
"121" -5.293657 50.209793
"122" -5.293419 50.20969
"123" -5.293443 50.20966
"124" -5.293459 50.209702
"125" -5.29348 50.209675
"126" -5.293485 50.20969
"127" -5.293586 50.209759
"128" -5.293592 50.209751
"129" -5.293594 50.209751
"130" -5.293609 50.209721
"131" -5.293521 50.20969
"132" -5.293464 50.209702
"133" -5.293516 50.209686
"134" -5.293567 50.209736
"135" -5.293695 50.209766
"136" -5.293823 50.209843
"137" -5.293743 50.209854
"138" -5.293724 50.209793
"139" -5.293812 50.209892
"140" -5.29381 50.209755
"141" -5.29347 50.209694
"142" -5.293851 50.209816
"143" -5.293693 50.209778
"144" -5.293355 50.210304
"145" -5.293839 50.209671
"146" -5.293839 50.209671
"147" -5.293671 50.209759
"148" -5.293671 50.209759
"149" -5.293731 50.209942
"150" -5.293731 50.209942
"151" -5.293487 50.209839
"152" -5.293862 50.209858
"153" -5.293732 50.209873
"154" -5.306871 50.21188
"155" -5.306871 50.21188
"156" -5.293751 50.209774
"157" -5.293751 50.209774
"158" -5.293569 50.210087
"159" -5.295237 50.20792
"160" -5.295237 50.20792
"161" -5.293571 50.209724
"162" -5.293794 50.209816
"163" -5.294639 50.216679
"164" -5.294009 50.209984
"165" -5.293499 50.210037
"166" -5.293684 50.209789
"167" -5.293684 50.209789
"168" -5.293772 50.209961
"169" -5.293231 50.209801
"170" -5.293231 50.209801
"171" -5.293575 50.209652
"172" -5.293072 50.209492
"173" -5.294052 50.209251
"174" -5.293938 50.209511
"175" -5.29397 50.209846
"176" -5.293663 50.21014
"177" -5.293475 50.212379
"178" -5.293639 50.209801
"179" -5.293429 50.209797
"180" -5.293429 50.209797
"181" -5.293162 50.20982
"182" -5.29339 50.209869
"183" -5.293211 50.210091
"184" -5.293211 50.210091
"185" -5.293915 50.209679
"186" -5.293881 50.209885
"187" -5.293881 50.209885
"188" -5.293782 50.209869
"189" -5.293512 50.210163
"190" -5.293385 50.210068
"191" -5.293873 50.21032
"192" -5.293352 50.210087
"193" -5.293703 50.210144
"194" -5.293933 50.20998
"195" -5.293424 50.210129
"196" -5.293421 50.210068
"197" -5.293496 50.210083
"198" -5.29351 50.210079
"199" -5.293543 50.210297
"200" -5.29303 50.209999
"201" -5.293233 50.210052
"202" -5.293302 50.210091
"203" -5.293115 50.210026
"204" -5.293227 50.210182
"205" -5.293292 50.210133
"206" -5.293223 50.210117
"207" -5.293163 50.20998
"208" -5.293185 50.210068
"209" -5.293289 50.210068
"210" -5.293261 50.210075
"211" -5.293213 50.209995
"212" -5.29312 50.209942
"213" -5.29324 50.21003
"214" -5.293247 50.210106
"215" -5.293235 50.210007
"216" -5.293841 50.209854
"217" -5.293858 50.20977
"218" -5.293541 50.209496
"219" -5.293772 50.209705
"220" -5.293699 50.209877
"221" -5.293815 50.209267
"222" -5.293701 50.209618
"223" -5.293955 50.209694
"224" -5.294004 50.209137
"225" -5.294004 50.209137
"226" -5.29379 50.209896
"227" -5.29379 50.209896
"228" -5.293415 50.210014
"229" -5.294292 50.209282
"230" -5.29439 50.209339
"231" -5.293053 50.210167
"232" -5.295088 50.20871
"233" -5.294293 50.209591
"234" -5.294065 50.209522
"235" -5.293687 50.209728
"236" -5.293548 50.209736
"237" -5.293754 50.209824
"238" -5.293658 50.209713
"239" -5.293691 50.209751
"240" -5.293768 50.209766
"241" -5.293672 50.209751
"242" -5.293548 50.209797
"243" -5.293585 50.209789
"244" -5.293554 50.209743
"245" -5.293591 50.209797
"246" -5.293635 50.209751
"247" -5.293627 50.209709
"248" -5.293606 50.20966
"249" -5.293635 50.209717
"250" -5.293786 50.209743
"251" -5.29362 50.209709
"252" -5.293694 50.209743
"253" -5.293564 50.209732
"254" -5.293759 50.209576
"255" -5.293653 50.209747
"256" -5.293702 50.209721
"257" -5.293606 50.209606
"258" -5.293698 50.209736
"259" -5.29365 50.209663
"260" -5.293655 50.209698
"261" -5.293636 50.209824
"262" -5.293696 50.209755
"263" -5.293613 50.20974
"264" -5.293662 50.209721
"265" -5.293648 50.209709
"266" -5.293597 50.209656
"267" -5.293798 50.209862
"268" -5.293705 50.209854
"269" -5.293528 50.209648
"270" -5.293628 50.209606
"271" -5.29361 50.209702
"272" -5.293818 50.209763
"273" -5.293586 50.209824
"274" -5.293747 50.209766
"275" -5.293566 50.209686
"276" -5.29361 50.20977
"277" -5.293778 50.209927
"278" -5.293846 50.209724
"279" -5.293589 50.209538
"280" -5.293834 50.209881
"281" -5.293671 50.209953
"282" -5.293671 50.209953
"283" -5.29374 50.209694
"284" -5.293653 50.209881
"285" -5.293813 50.209743
"286" -5.293532 50.210049
"287" -5.293808 50.209785
"288" -5.293808 50.209785
"289" -5.293722 50.209534
"290" -5.293841 50.209717
"291" -5.293798 50.20977
"292" -5.29378 50.209854
"293" -5.293577 50.209751
"294" -5.293678 50.209694
"295" -5.293797 50.209747
"296" -5.293841 50.209736
"297" -5.293071 50.209991
"298" -5.293196 50.209961
"299" -5.29342 50.209694
"300" -5.293605 50.20966
"301" -5.293745 50.209789
"302" -5.293777 50.209797
"303" -5.293374 50.211079
"304" -5.296421 50.216141
"305" -5.296421 50.216141
"306" -5.292666 50.211166
"307" -5.291036 50.213657
"308" -5.291036 50.213657
"309" -5.292238 50.210941
"310" -5.293415 50.21003
"311" -5.293248 50.210033
